CHROMATOGRAM	
Unknown2inEtOH.raw	
Data points: 11180	
Time	Intensity
0.631666667	400710
0.633333333	400670
0.635	400430
0.636666667	400530
0.638333333	400420
0.64	400590
0.641666667	400760
0.643333333	400560
0.645	400240
0.646666667	400190
0.648333333	400450
0.65	400470
0.651666667	400620
0.653333333	400400
0.655	400520
0.656666667	400430
0.658333333	400400
0.66	400440
0.661666667	400460
0.663333333	400470
0.665	400570
0.666666667	400500
0.668333333	400490
0.67	400310
0.671666667	400320
0.673333333	400390
0.675	400370
0.676666667	400380
0.678333333	400480
0.68	400380
0.681666667	400560
0.683333333	400630
0.685	400630
0.686666667	400430
0.688333333	400400
0.69	400670
0.691666667	400530
0.693333333	400520
0.695	400300
0.696666667	400510
0.698333333	400640
0.7	400940
0.701666667	400650
0.703333333	400760
0.705	400640
0.706666667	400790
0.708333333	400680
0.71	400580
0.711666667	400500
0.713333333	400550
0.715	400330
0.716666667	400340
0.718333333	400470
0.72	400200
0.721666667	400110
0.723333333	400210
0.725	400530
0.726666667	400580
0.728333333	400450
0.73	400430
0.731666667	400640
0.733333333	400890
0.735	401080
0.736666667	401260
0.738333333	401310
0.74	401640
0.741666667	401510
0.743333333	401560
0.745	401750
0.746666667	401600
0.748333333	401540
0.75	401530
0.751666667	401710
0.753333333	401680
0.755	401720
0.756666667	401660
0.758333333	401760
0.76	401630
0.761666667	401350
0.763333333	401470
0.765	401740
0.766666667	401730
0.768333333	402010
0.77	402050
0.771666667	401810
0.773333333	401940
0.775	402090
0.776666667	402260
0.778333333	402310
0.78	402330
0.781666667	402290
0.783333333	402110
0.785	402150
0.786666667	401890
0.788333333	401830
0.79	401890
0.791666667	401690
0.793333333	401450
0.795	401410
0.796666667	401620
0.798333333	401760
0.8	401710
0.801666667	401660
0.803333333	401810
0.805	401920
0.806666667	401890
0.808333333	401880
0.81	401870
0.811666667	401620
0.813333333	401750
0.815	401700
0.816666667	401910
0.818333333	401900
0.82	401940
0.821666667	402160
0.823333333	402260
0.825	402400
0.826666667	402360
0.828333333	402140
0.83	402200
0.831666667	402210
0.833333333	402300
0.835	402160
0.836666667	402340
0.838333333	402160
0.84	402100
0.841666667	402150
0.843333333	402270
0.845	402030
0.846666667	401780
0.848333333	401960
0.85	401830
0.851666667	401910
0.853333333	402230
0.855	402250
0.856666667	402380
0.858333333	402310
0.86	402190
0.861666667	402120
0.863333333	401960
0.865	401890
0.866666667	402020
0.868333333	402250
0.87	402150
0.871666667	402060
0.873333333	401890
0.875	401760
0.876666667	401670
0.878333333	401870
0.88	401920
0.881666667	402080
0.883333333	402260
0.885	402180
0.886666667	402250
0.888333333	402410
0.89	402340
0.891666667	402330
0.893333333	402340
0.895	402170
0.896666667	401800
0.898333333	401860
0.9	401620
0.901666667	401660
0.903333333	401750
0.905	401880
0.906666667	402030
0.908333333	401900
0.91	401840
0.911666667	401820
0.913333333	401650
0.915	401500
0.916666667	401440
0.918333333	401700
0.92	401460
0.921666667	401330
0.923333333	401520
0.925	401510
0.926666667	401340
0.928333333	401370
0.93	401240
0.931666667	401110
0.933333333	401060
0.935	401400
0.936666667	401120
0.938333333	401010
0.94	401150
0.941666667	401360
0.943333333	401330
0.945	401560
0.946666667	401590
0.948333333	401520
0.95	401430
0.951666667	401430
0.953333333	400990
0.955	401030
0.956666667	401100
0.958333333	401250
0.96	401470
0.961666667	401540
0.963333333	401640
0.965	401790
0.966666667	401580
0.968333333	401630
0.97	401340
0.971666667	401250
0.973333333	401160
0.975	401000
0.976666667	400920
0.978333333	401020
0.98	401200
0.981666667	401230
0.983333333	400910
0.985	400860
0.986666667	401010
0.988333333	401350
0.99	401450
0.991666667	401460
0.993333333	401590
0.995	401590
0.996666667	401550
0.998333333	401360
1	401540
1.001666667	401760
1.003333333	401870
1.005	401840
1.006666667	401760
1.008333333	401600
1.01	401560
1.011666667	401340
1.013333333	401320
1.015	401320
1.016666667	401490
1.018333333	401630
1.02	401630
1.021666667	401640
1.023333333	401530
1.025	401760
1.026666667	401730
1.028333333	401810
1.03	401810
1.031666667	401750
1.033333333	401660
1.035	401710
1.036666667	401670
1.038333333	401540
1.04	401390
1.041666667	401380
1.043333333	401690
1.045	401900
1.046666667	401740
1.048333333	402010
1.05	401890
1.051666667	401950
1.053333333	401710
1.055	401700
1.056666667	401800
1.058333333	402130
1.06	402120
1.061666667	402050
1.063333333	402140
1.065	402240
1.066666667	402310
1.068333333	402260
1.07	402260
1.071666667	402340
1.073333333	402100
1.075	402190
1.076666667	402390
1.078333333	402360
1.08	402460
1.081666667	402420
1.083333333	402300
1.085	402160
1.086666667	402120
1.088333333	402390
1.09	402420
1.091666667	402210
1.093333333	402120
1.095	402210
1.096666667	402210
1.098333333	402130
1.1	402150
1.101666667	402420
1.103333333	402480
1.105	402640
1.106666667	402500
1.108333333	402640
1.11	402690
1.111666667	402210
1.113333333	401950
1.115	401840
1.116666667	401890
1.118333333	401650
1.12	401580
1.121666667	401800
1.123333333	401880
1.125	401880
1.126666667	401720
1.128333333	401900
1.13	402150
1.131666667	402410
1.133333333	402600
1.135	402660
1.136666667	402610
1.138333333	402560
1.14	402690
1.141666667	402760
1.143333333	402720
1.145	402730
1.146666667	402520
1.148333333	402350
1.15	402340
1.151666667	402280
1.153333333	402420
1.155	402290
1.156666667	402210
1.158333333	402270
1.16	402290
1.161666667	402260
1.163333333	402080
1.165	402170
1.166666667	402430
1.168333333	402560
1.17	402420
1.171666667	402460
1.173333333	402210
1.175	402250
1.176666667	402190
1.178333333	402070
1.18	401880
1.181666667	401840
1.183333333	401930
1.185	402100
1.186666667	402040
1.188333333	402200
1.19	402190
1.191666667	402040
1.193333333	401930
1.195	402060
1.196666667	402410
1.198333333	402710
1.2	403870
1.201666667	409770
1.203333333	435620
1.205	523500
1.206666667	768850
1.208333333	1336170
1.21	2412430
1.211666667	4216650
1.213333333	6836800
1.215	10685440
1.216666667	17069440
1.218333333	29078720
1.22	50257600
1.221666667	75450880
1.223333333	97321920
1.225	116283200
1.226666667	131147520
1.228333333	138033600
1.23	138311040
1.231666667	138312320
1.233333333	138311360
1.235	138310720
1.236666667	138312000
1.238333333	138311360
1.24	138311040
1.241666667	138313600
1.243333333	138303680
1.245	138315520
1.246666667	138310080
1.248333333	138311360
1.25	138312960
1.251666667	138310400
1.253333333	138310080
1.255	138312000
1.256666667	138307520
1.258333333	138312320
1.26	138304960
1.261666667	138313920
1.263333333	138311040
1.265	138309120
1.266666667	138310720
1.268333333	138309440
1.27	138309120
1.271666667	138312640
1.273333333	138306880
1.275	138312000
1.276666667	138308160
1.278333333	138311680
1.28	138309760
1.281666667	138310080
1.283333333	138309760
1.285	138307840
1.286666667	138309120
1.288333333	138312640
1.29	138308160
1.291666667	138311360
1.293333333	138309120
1.295	138310720
1.296666667	138308160
1.298333333	138309120
1.3	138309440
1.301666667	138309440
1.303333333	138309120
1.305	138310400
1.306666667	138307200
1.308333333	138310720
1.31	138305280
1.311666667	138312640
1.313333333	138308480
1.315	138311360
1.316666667	138310400
1.318333333	138305600
1.32	138311040
1.321666667	138311680
1.323333333	138305600
1.325	138309440
1.326666667	138304640
1.328333333	138314240
1.33	138310720
1.331666667	138308160
1.333333333	138308800
1.335	138307200
1.336666667	138309440
1.338333333	138311360
1.34	138308160
1.341666667	138311680
1.343333333	138304960
1.345	138310720
1.346666667	138310400
1.348333333	138308160
1.35	138308480
1.351666667	138309440
1.353333333	138306880
1.355	138311360
1.356666667	138308160
1.358333333	138310080
1.36	138307520
1.361666667	138307840
1.363333333	138308160
1.365	138310080
1.366666667	138308160
1.368333333	138308160
1.37	138308800
1.371666667	138311040
1.373333333	138305920
1.375	138308800
1.376666667	138304640
1.378333333	138312000
1.38	138305920
1.381666667	138309440
1.383333333	138308480
1.385	138304960
1.386666667	138308480
1.388333333	138310080
1.39	138304640
1.391666667	138311040
1.393333333	138302720
