CHROMATOGRAM	
VanillinEtOH.raw	
Data points: 12380	
Time	Intensity
0.631666667	386550
0.633333333	386400
0.635	386200
0.636666667	386140
0.638333333	386150
0.64	386250
0.641666667	386420
0.643333333	386580
0.645	386560
0.646666667	386340
0.648333333	386290
0.65	386370
0.651666667	386330
0.653333333	386460
0.655	386250
0.656666667	386380
0.658333333	386170
0.66	386060
0.661666667	386000
0.663333333	385770
0.665	385600
0.666666667	385460
0.668333333	385450
0.67	385440
0.671666667	385310
0.673333333	385250
0.675	385090
0.676666667	385180
0.678333333	385280
0.68	385240
0.681666667	385410
0.683333333	385350
0.685	385220
0.686666667	385350
0.688333333	385550
0.69	385580
0.691666667	385520
0.693333333	385420
0.695	385370
0.696666667	385390
0.698333333	385540
0.7	385560
0.701666667	385610
0.703333333	385950
0.705	386110
0.706666667	386410
0.708333333	386700
0.71	386590
0.711666667	386700
0.713333333	387100
0.715	387160
0.716666667	387330
0.718333333	387610
0.72	387960
0.721666667	387730
0.723333333	387930
0.725	387820
0.726666667	387810
0.728333333	387870
0.73	387780
0.731666667	387870
0.733333333	388000
0.735	388460
0.736666667	388330
0.738333333	388240
0.74	388310
0.741666667	388280
0.743333333	388260
0.745	388280
0.746666667	388190
0.748333333	388320
0.75	388010
0.751666667	388070
0.753333333	388280
0.755	388270
0.756666667	388310
0.758333333	388440
0.76	388550
0.761666667	388420
0.763333333	388530
0.765	388560
0.766666667	388680
0.768333333	388500
0.77	388620
0.771666667	388730
0.773333333	388890
0.775	389030
0.776666667	388700
0.778333333	388530
0.78	388290
0.781666667	388510
0.783333333	388700
0.785	388880
0.786666667	389000
0.788333333	389030
0.79	388840
0.791666667	388630
0.793333333	388640
0.795	389060
0.796666667	389350
0.798333333	389290
0.8	388970
0.801666667	388860
0.803333333	388690
0.805	388350
0.806666667	388330
0.808333333	388320
0.81	388490
0.811666667	387940
0.813333333	387960
0.815	387830
0.816666667	387700
0.818333333	387550
0.82	387600
0.821666667	387830
0.823333333	387960
0.825	387790
0.826666667	387630
0.828333333	387460
0.83	387400
0.831666667	387700
0.833333333	387640
0.835	387830
0.836666667	388080
0.838333333	388070
0.84	387590
0.841666667	387510
0.843333333	387450
0.845	387690
0.846666667	388120
0.848333333	387870
0.85	387650
0.851666667	387490
0.853333333	387570
0.855	387510
0.856666667	387410
0.858333333	387310
0.86	387160
0.861666667	387470
0.863333333	387660
0.865	387930
0.866666667	388020
0.868333333	388180
0.87	388420
0.871666667	388510
0.873333333	388550
0.875	388480
0.876666667	389100
0.878333333	389240
0.88	389170
0.881666667	389270
0.883333333	389450
0.885	389540
0.886666667	389240
0.888333333	389030
0.89	388920
0.891666667	389080
0.893333333	389200
0.895	389340
0.896666667	388960
0.898333333	388990
0.9	388880
0.901666667	388870
0.903333333	388890
0.905	388640
0.906666667	388790
0.908333333	388750
0.91	388860
0.911666667	388880
0.913333333	388550
0.915	388850
0.916666667	388950
0.918333333	389020
0.92	389000
0.921666667	389200
0.923333333	389200
0.925	389310
0.926666667	389330
0.928333333	389640
0.93	389890
0.931666667	389980
0.933333333	389930
0.935	389860
0.936666667	389970
0.938333333	389510
0.94	389320
0.941666667	389470
0.943333333	389580
0.945	389770
0.946666667	389870
0.948333333	389740
0.95	389670
0.951666667	389430
0.953333333	389290
0.955	389160
0.956666667	389070
0.958333333	389110
0.96	389350
0.961666667	389470
0.963333333	389440
0.965	389470
0.966666667	389420
0.968333333	389570
0.97	389350
0.971666667	389180
0.973333333	388850
0.975	388840
0.976666667	388870
0.978333333	389230
0.98	389270
0.981666667	389330
0.983333333	389550
0.985	389310
0.986666667	389490
0.988333333	389510
0.99	389520
0.991666667	389390
0.993333333	389270
0.995	388990
0.996666667	389050
0.998333333	389250
1	389410
1.001666667	389290
1.003333333	389410
1.005	389310
1.006666667	389000
1.008333333	389140
1.01	389530
1.011666667	389610
1.013333333	389780
1.015	389620
1.016666667	389570
1.018333333	389460
1.02	389470
1.021666667	389220
1.023333333	388910
1.025	388900
1.026666667	388670
1.028333333	388750
1.03	388880
1.031666667	389260
1.033333333	389220
1.035	389440
1.036666667	390620
1.038333333	390610
1.04	389910
1.041666667	389600
1.043333333	389490
1.045	389300
1.046666667	389270
1.048333333	389290
1.05	389330
1.051666667	389430
1.053333333	389200
1.055	389340
1.056666667	389740
1.058333333	389860
1.06	389690
1.061666667	389590
1.063333333	389590
1.065	389530
1.066666667	389810
1.068333333	389820
1.07	389890
1.071666667	389930
1.073333333	390030
1.075	390100
1.076666667	390070
1.078333333	389970
1.08	389630
1.081666667	389840
1.083333333	389840
1.085	389910
1.086666667	389720
1.088333333	389560
1.09	389470
1.091666667	389300
1.093333333	389140
1.095	389180
1.096666667	388970
1.098333333	389360
1.1	389650
1.101666667	389720
1.103333333	389880
1.105	389760
1.106666667	389730
1.108333333	389950
1.11	390090
1.111666667	390370
1.113333333	390290
1.115	390200
1.116666667	390360
1.118333333	390520
1.12	390420
1.121666667	390030
1.123333333	390180
1.125	390310
1.126666667	390400
1.128333333	390390
1.13	390280
1.131666667	390180
1.133333333	390280
1.135	390120
1.136666667	390310
1.138333333	390500
1.14	390620
1.141666667	390740
1.143333333	390870
1.145	391010
1.146666667	390830
1.148333333	390770
1.15	390310
1.151666667	390200
1.153333333	390340
1.155	390260
1.156666667	390250
1.158333333	390270
1.16	390620
1.161666667	390610
1.163333333	390630
1.165	390430
