CHROMATOGRAM	
ScopolamineEtOH.raw	
Data points: 11180	
Time	Intensity
0	375240
0.001666667	384450
0.003333333	381770
0.005	379110
0.006666667	377230
0.008333333	369900
0.01	380130
0.011666667	384150
0.013333333	382970
0.015	382020
0.016666667	381170
0.018333333	380190
0.02	379890
0.021666667	379940
0.023333333	380290
0.025	379850
0.026666667	379220
0.028333333	378650
0.03	379050
0.031666667	379480
0.033333333	379560
0.035	379840
0.036666667	379870
0.038333333	379780
0.04	379900
0.041666667	380370
0.043333333	380330
0.045	380160
0.046666667	380260
0.048333333	380220
0.05	380460
0.051666667	379800
0.053333333	380540
0.055	379640
0.056666667	380120
0.058333333	378790
0.06	379280
0.061666667	379180
0.063333333	379420
0.065	380130
0.066666667	380590
0.068333333	380600
0.07	380950
0.071666667	380780
0.073333333	380760
0.075	380620
0.076666667	380410
0.078333333	376500
0.08	364310
0.081666667	380850
0.083333333	382090
0.085	381190
0.086666667	378910
0.088333333	381100
0.09	381220
0.091666667	380770
0.093333333	380560
0.095	380660
0.096666667	380920
0.098333333	380260
0.1	380170
0.101666667	380360
0.103333333	380740
0.105	380640
0.106666667	380450
0.108333333	373610
0.11	368650
0.111666667	381010
0.113333333	380520
0.115	380060
0.116666667	377200
0.118333333	379480
0.12	379370
0.121666667	379180
0.123333333	378910
0.125	378450
0.126666667	378120
0.128333333	377760
0.13	377440
0.131666667	377440
0.133333333	377530
0.135	378010
0.136666667	378660
0.138333333	378440
0.14	378500
0.141666667	377400
0.143333333	378600
0.145	377240
0.146666667	377440
0.148333333	365530
0.15	368770
0.151666667	377680
0.153333333	379250
0.155	378480
0.156666667	378860
0.158333333	378850
0.16	378600
0.161666667	378330
0.163333333	378220
0.165	378230
0.166666667	378110
0.168333333	378020
0.17	363030
0.171666667	371780
0.173333333	377940
0.175	376670
0.176666667	377980
0.178333333	377470
0.18	376700
0.181666667	376270
0.183333333	375770
0.185	375470
0.186666667	375510
0.188333333	375300
0.19	375200
0.191666667	374720
0.193333333	375030
0.195	375060
0.196666667	375950
0.198333333	375530
0.2	375210
0.201666667	375450
0.203333333	375070
0.205	374980
0.206666667	374870
0.208333333	374990
0.21	374520
0.211666667	374340
0.213333333	374330
0.215	374560
0.216666667	374190
0.218333333	374160
0.22	373970
0.221666667	374150
0.223333333	374780
0.225	374660
0.226666667	374990
0.228333333	374890
0.23	375140
0.231666667	375390
0.233333333	375480
0.235	375180
0.236666667	375200
0.238333333	375070
0.24	374730
0.241666667	375150
0.243333333	375670
0.245	375760
0.246666667	376350
0.248333333	376480
0.25	376380
0.251666667	376820
0.253333333	377530
0.255	377700
0.256666667	377080
0.258333333	377060
0.26	377360
0.261666667	377860
0.263333333	378100
0.265	378620
0.266666667	378170
0.268333333	378490
0.27	378540
0.271666667	378760
0.273333333	378660
0.275	378810
0.276666667	379310
0.278333333	379650
0.28	379760
0.281666667	380120
0.283333333	379750
0.285	379950
0.286666667	380400
0.288333333	380600
0.29	380940
0.291666667	380720
0.293333333	380420
0.295	380520
0.296666667	380340
0.298333333	380180
0.3	380040
0.301666667	380070
0.303333333	380020
0.305	380270
0.306666667	380390
0.308333333	380050
0.31	379810
0.311666667	379590
0.313333333	379890
0.315	379910
0.316666667	379350
0.318333333	379070
0.32	378670
0.321666667	378550
0.323333333	377910
0.325	377340
0.326666667	376920
0.328333333	376360
0.33	376210
0.331666667	375920
0.333333333	375620
0.335	375390
0.336666667	375820
0.338333333	375770
0.34	375540
0.341666667	375560
0.343333333	375460
0.345	375580
0.346666667	375820
0.348333333	375870
0.35	376020
0.351666667	376410
0.353333333	376300
0.355	377360
0.356666667	377720
0.358333333	377920
0.36	377680
0.361666667	377750
0.363333333	377800
0.365	377640
0.366666667	377730
0.368333333	378320
0.37	378420
0.371666667	378620
0.373333333	378540
0.375	378620
0.376666667	378750
0.378333333	378970
0.38	378740
0.381666667	379070
0.383333333	379050
0.385	379030
0.386666667	378970
0.388333333	378940
0.39	378740
0.391666667	378550
0.393333333	378430
0.395	378760
0.396666667	378590
0.398333333	378510
0.4	378270
0.401666667	378670
0.403333333	378480
0.405	378490
0.406666667	378420
0.408333333	378400
0.41	377650
0.411666667	377070
0.413333333	376480
0.415	376530
0.416666667	375980
0.418333333	376000
0.42	376200
0.421666667	376100
0.423333333	375830
0.425	376020
0.426666667	376240
0.428333333	376530
0.43	376570
0.431666667	376980
0.433333333	377220
0.435	377270
0.436666667	377620
0.438333333	377900
0.44	378120
0.441666667	377620
0.443333333	377630
0.445	377900
0.446666667	378030
0.448333333	377610
0.45	378000
0.451666667	378190
0.453333333	378420
0.455	378340
0.456666667	378290
0.458333333	378210
0.46	377880
0.461666667	378100
0.463333333	377660
0.465	377020
0.466666667	376810
0.468333333	376950
0.47	376890
0.471666667	376800
0.473333333	376540
0.475	376080
0.476666667	376420
0.478333333	376730
0.48	377190
0.481666667	378040
0.483333333	378360
0.485	378160
0.486666667	377880
0.488333333	377640
0.49	377600
0.491666667	377460
0.493333333	377130
0.495	376790
0.496666667	376750
0.498333333	376470
0.5	376420
0.501666667	376110
0.503333333	375910
0.505	375450
0.506666667	375720
0.508333333	375530
0.51	375880
0.511666667	376220
0.513333333	376500
0.515	376910
0.516666667	377220
0.518333333	377590
0.52	377450
0.521666667	377560
0.523333333	378080
0.525	378030
0.526666667	377850
0.528333333	377760
0.53	377670
0.531666667	377940
0.533333333	378190
0.535	378270
0.536666667	378480
0.538333333	378240
0.54	378160
0.541666667	377840
0.543333333	378090
0.545	378410
0.546666667	377860
0.548333333	378270
0.55	378550
0.551666667	378610
0.553333333	378500
0.555	378430
0.556666667	378420
0.558333333	378510
0.56	378590
0.561666667	378530
0.563333333	378040
0.565	377820
0.566666667	377900
0.568333333	377550
0.57	377500
0.571666667	377050
0.573333333	377310
0.575	377620
0.576666667	377900
0.578333333	378150
0.58	378550
0.581666667	378630
0.583333333	378910
0.585	379490
0.586666667	379490
0.588333333	379310
0.59	379060
0.591666667	379440
0.593333333	378650
0.595	378440
0.596666667	377600
0.598333333	377530
0.6	376910
0.601666667	377270
0.603333333	377670
0.605	378080
0.606666667	378850
0.608333333	379270
0.61	379280
0.611666667	379640
0.613333333	379670
0.615	380130
0.616666667	379870
0.618333333	378920
0.62	378970
0.621666667	378630
0.623333333	378800
0.625	378470
0.626666667	378480
0.628333333	378470
0.63	378700
0.631666667	378430
0.633333333	378150
0.635	377670
0.636666667	377750
0.638333333	377370
0.64	377360
0.641666667	377310
0.643333333	377090
0.645	377250
0.646666667	377380
0.648333333	378040
0.65	377960
0.651666667	377940
0.653333333	378000
0.655	377690
0.656666667	377480
0.658333333	377410
0.66	377480
0.661666667	377500
0.663333333	378030
0.665	378170
0.666666667	378120
0.668333333	377940
0.67	377290
0.671666667	377290
0.673333333	377340
0.675	377310
0.676666667	377650
0.678333333	378040
0.68	377890
0.681666667	378000
0.683333333	378140
0.685	378080
0.686666667	378200
0.688333333	377820
0.69	377860
0.691666667	378100
0.693333333	378020
0.695	378050
0.696666667	377980
0.698333333	377480
0.7	377680
0.701666667	377690
0.703333333	377570
0.705	377970
0.706666667	377940
0.708333333	377670
0.71	377970
0.711666667	377810
0.713333333	377730
0.715	377460
0.716666667	377760
0.718333333	377950
0.72	377700
0.721666667	378280
0.723333333	378170
0.725	378340
