CHROMATOGRAM	
MixtureinEtOH.raw	
Time	Intensity
0.633333333	369290
0.635	369770
0.636666667	370240
0.638333333	369840
0.64	369890
0.641666667	369530
0.643333333	369250
0.645	369490
0.646666667	369710
0.648333333	369580
0.65	369540
0.651666667	369900
0.653333333	370160
0.655	368670
0.656666667	369090
0.658333333	369350
0.66	370690
0.661666667	370540
0.663333333	370390
0.665	370300
0.666666667	370190
0.668333333	369740
0.67	369980
0.671666667	369940
0.673333333	370260
0.675	370080
0.676666667	370890
0.678333333	371020
0.68	371460
0.681666667	371060
0.683333333	371810
0.685	371750
0.686666667	371390
0.688333333	371410
0.69	370780
0.691666667	371480
0.693333333	371440
0.695	371410
0.696666667	371270
0.698333333	370730
0.7	370920
0.701666667	370640
0.703333333	370720
0.705	370200
0.706666667	370360
0.708333333	370510
0.71	370650
0.711666667	371140
0.713333333	370990
0.715	371060
0.716666667	371670
0.718333333	371730
0.72	372370
0.721666667	372570
0.723333333	372830
0.725	372250
0.726666667	373220
0.728333333	373180
0.73	372930
0.731666667	373370
0.733333333	373510
0.735	374150
0.736666667	374140
0.738333333	374880
0.74	375200
0.741666667	375970
0.743333333	375560
0.745	375370
0.746666667	375500
0.748333333	376000
0.75	376150
0.751666667	376450
0.753333333	377050
0.755	377150
0.756666667	377030
0.758333333	376750
0.76	377090
0.761666667	376990
0.763333333	377110
0.765	377730
0.766666667	377370
0.768333333	377950
0.77	377180
0.771666667	378190
0.773333333	377270
0.775	377560
0.776666667	378030
0.778333333	378230
0.78	377750
0.781666667	377110
0.783333333	377660
0.785	377530
0.786666667	377880
0.788333333	377550
0.79	377160
0.791666667	376780
0.793333333	376980
0.795	376850
0.796666667	376950
0.798333333	376990
0.8	377010
0.801666667	377260
0.803333333	377320
0.805	377310
0.806666667	377010
0.808333333	376360
0.81	376130
0.811666667	375800
0.813333333	375940
0.815	375800
0.816666667	375740
0.818333333	375480
0.82	375100
0.821666667	374930
0.823333333	374510
0.825	374170
0.826666667	373850
0.828333333	374510
0.83	374510
0.831666667	374250
0.833333333	374080
0.835	373840
0.836666667	373840
0.838333333	372750
0.84	374110
0.841666667	373880
0.843333333	374580
0.845	374420
0.846666667	374840
0.848333333	375270
0.85	376200
0.851666667	376150
0.853333333	376360
0.855	376710
0.856666667	377040
0.858333333	377300
0.86	377080
0.861666667	376890
0.863333333	377490
0.865	377770
0.866666667	377410
0.868333333	376670
0.87	378070
0.871666667	378290
0.873333333	377760
0.875	377690
0.876666667	377370
0.878333333	376450
0.88	377150
0.881666667	377330
0.883333333	377530
0.885	377780
0.886666667	377800
0.888333333	378040
0.89	378670
0.891666667	378810
0.893333333	377930
0.895	378100
0.896666667	378240
0.898333333	377940
0.9	378320
0.901666667	378110
0.903333333	378040
0.905	378600
0.906666667	378330
0.908333333	377870
0.91	378060
0.911666667	378180
0.913333333	377360
0.915	377520
0.916666667	378380
0.918333333	377680
0.92	378370
0.921666667	378870
0.923333333	379050
0.925	379060
0.926666667	379150
0.928333333	379240
0.93	379390
0.931666667	378970
0.933333333	378640
0.935	378350
0.936666667	379430
0.938333333	378860
0.94	379270
0.941666667	379290
0.943333333	379280
0.945	378780
0.946666667	379390
0.948333333	379350
0.95	379240
0.951666667	379520
0.953333333	379280
0.955	379840
0.956666667	379530
0.958333333	379700
0.96	379210
0.961666667	378790
0.963333333	377440
0.965	378460
0.966666667	378270
0.968333333	378340
0.97	378260
0.971666667	378040
0.973333333	378210
0.975	378400
0.976666667	378140
0.978333333	378480
0.98	378210
0.981666667	378220
0.983333333	377990
0.985	377790
0.986666667	377620
0.988333333	377920
0.99	378140
0.991666667	378040
0.993333333	378080
0.995	378260
0.996666667	378280
0.998333333	378850
1	378010
1.001666667	378670
1.003333333	378180
1.005	378520
1.006666667	377910
1.008333333	378260
1.01	376770
1.011666667	377610
1.013333333	377560
1.015	377290
1.016666667	377770
1.018333333	378010
1.02	377890
1.021666667	378240
1.023333333	378470
1.025	378190
1.026666667	378050
1.028333333	377960
1.03	378080
1.031666667	377950
1.033333333	378370
1.035	378570
1.036666667	379020
1.038333333	378780
1.04	378900
1.041666667	379230
1.043333333	379100
1.045	379100
1.046666667	379050
1.048333333	379180
1.05	378650
1.051666667	378830
1.053333333	378600
1.055	378620
1.056666667	378830
1.058333333	378960
1.06	378650
1.061666667	378490
1.063333333	377760
1.065	377130
1.066666667	377050
1.068333333	377400
1.07	376790
1.071666667	377090
1.073333333	377320
1.075	377810
1.076666667	378070
1.078333333	377360
1.08	376340
1.081666667	377330
1.083333333	377070
1.085	376890
1.086666667	376120
1.088333333	376260
1.09	376320
1.091666667	376980
1.093333333	376880
1.095	377320
1.096666667	376120
1.098333333	377680
1.1	377380
1.101666667	377520
1.103333333	377520
1.105	377460
1.106666667	377010
1.108333333	377100
1.11	377690
1.111666667	376580
1.113333333	377650
1.115	378170
1.116666667	377810
1.118333333	377570
1.12	378060
1.121666667	378090
1.123333333	377860
1.125	378050
1.126666667	378290
1.128333333	378310
1.13	378220
1.131666667	378410
1.133333333	377340
1.135	378250
1.136666667	378110
1.138333333	378490
1.14	377640
1.141666667	378180
1.143333333	378120
1.145	378370
1.146666667	378010
1.148333333	378590
1.15	378110
1.151666667	378430
1.153333333	378550
1.155	378870
1.156666667	378810
1.158333333	378470
1.16	378620
1.161666667	378410
1.163333333	378860
1.165	378960
1.166666667	379310
1.168333333	379230
1.17	379480
1.171666667	379320
1.173333333	378550
1.175	378740
1.176666667	378570
1.178333333	378230
1.18	377820
1.181666667	378550
1.183333333	378670
1.185	378850
1.186666667	378990
1.188333333	379100
1.19	378740
1.191666667	379410
1.193333333	379250
1.195	379730
1.196666667	379710
1.198333333	380170
1.2	384470
1.201666667	404650
1.203333333	492420
1.205	786710
1.206666667	1607630
1.208333333	3478020
1.21	7009600
1.211666667	12774400
1.213333333	21325440
1.215	33440000
1.216666667	50336640
1.218333333	69168640
1.22	87137600
1.221666667	104372480
1.223333333	121722880
1.225	134894720
1.226666667	138113920
1.228333333	138108480
1.23	138110720
1.231666667	138110720
1.233333333	138111680
1.235	138109760
1.236666667	138110720
1.238333333	138109440
1.24	138111680
1.241666667	138107200
1.243333333	138112000
1.245	138106560
1.246666667	138114880
1.248333333	138107520
1.25	138111360
1.251666667	138106240
1.253333333	138111040
1.255	138109760
1.256666667	138112320
1.258333333	138110080
1.26	138109440
1.261666667	138108160
1.263333333	138111040
1.265	138107200
1.266666667	138112320
1.268333333	138108160
1.27	138110400
1.271666667	138107520
1.273333333	138112640
1.275	138110400
1.276666667	138108800
1.278333333	138107200
1.28	138111360
1.281666667	138107520
1.283333333	138109760
1.285	138108480
1.286666667	138110080
1.288333333	138110720
1.29	138109760
1.291666667	138107200
1.293333333	138112320
1.295	138103680
1.296666667	138113920
1.298333333	138108480
1.3	138108800
1.301666667	138108480
1.303333333	138107840
1.305	138108480
1.306666667	138111040
1.308333333	138109120
1.31	138106880
1.311666667	138105920
1.313333333	138113920
1.315	138108160
1.316666667	138106240
1.318333333	138107200
1.32	138109440
1.321666667	138107200
1.323333333	138111360
1.325	138105920
1.326666667	138112320
1.328333333	138104960
